,Adams,Barnard,Bradley,Chadbourne,Cole,Davis,Dejope,Humphrey,Jorns,Kronshage,Leopold,Merit,Ogg,Phillips,Sellery,Slichter,Smith,Sullivan,Tripp,Waters,Witte,Carson's Market,Four Lakes Market,Gordon Avenue Market,Liz's Market,Rheta's Market,Starbucks,Park & University,Park & Johnson,Park & Dayton,E Campus Mall & Johnson,Lake & Johnson,Lake & Dayton,Park & Observatory,Observatory & Charter,Charter & University,Charter & Johnson,Observatory & Babcock,Babcock & Tripp,Babcock & Kronshage,Observatory & Elm,Elm & Kronshage,Observatory & Willow,Babcock & University,DIR
Adams,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,R
Barnard,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,R
Bradley,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,R
Chadbourne,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,R
Cole,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,R
Davis,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,R
Dejope,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,R
Humphrey,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,R
Jorns,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,R
Kronshage,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,R
Leopold,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,R
Merit,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,R
Ogg,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,R
Phillips,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,R
